Index,Campaign Period Sales,Buy,Historical Sales Volume,Number of Prior Year Transactions,Number of Transactions,Purchase Breadth,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group,Repurchase Method,Last Transaction Channel,Number of Employees,Service Level,Do No Disturb,Email Available,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies
11758,0.0,0,565023.0857142856,18,18,1,9278,3089,Mid-term,English,NOTICE,WEB,6-10,Standard,False,True,False,False,False,False,False,False,False,False,True
11759,0.0,0,953752.8,21,21,1,10647,2552,Mid-term,English,NOTICE,PHONE,11-50,Premier,False,True,False,False,False,False,False,False,False,False,True
11760,0.0,0,790062.0,15,15,1,12688,2507,Mid-term,English,AUTO RENEW,AUTO RENEW,51-100,Standard,False,True,False,False,False,False,False,False,False,False,True
11761,465.36000000000007,1,1218312.4800000002,22,22,1,5978,3309,Short-term,English,NOTICE,MAIL,11-50,Premier,False,True,False,False,False,False,False,False,False,False,True
11762,0.0,0,700612.5,17,17,1,12065,4077,Mid-term,Unknown,NOTICE,WEB,6-10,Premier,False,False,False,False,False,False,False,False,True,False,False
11763,223.4266666666667,1,179858.4666666667,7,7,2,10647,3214,Mid-term,English,NOTICE,MAIL,1-5,Standard,False,True,False,False,False,False,False,False,False,True,True
11764,0.0,0,1605146.4,22,22,1,8747,4119,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Standard,True,True,False,False,False,False,False,False,False,False,True
11765,0.0,0,38422.80000000001,6,6,1,10526,1935,Mid-term,English,NOTICE,WEB,1-5,Standard,False,True,False,False,False,False,False,False,False,False,True
11766,0.0,0,1778884.9866666668,13,13,1,8670,2941,Mid-term,Unknown,AUTO RENEW,AUTO RENEW,101-500,Premier,False,True,False,False,False,False,False,False,False,False,True
11767,259.83333333333337,1,542532.0000000001,24,24,1,9401,1991,Mid-term,English,NOTICE,BRANCH (PHONE),51-100,Standard,False,False,False,False,False,False,False,False,False,False,True
11768,165.94285714285715,1,58080.00000000001,10,10,1,4467,2116,Short-term,English,NOTICE,MAIL,6-10,Standard,False,True,False,False,False,False,False,False,False,False,True
11769,0.0,0,101250.24,19,19,1,5020,2875,Short-term,English,NOTICE,WEB,1-5,Standard,False,True,False,False,False,False,False,False,False,False,True
11770,0.0,0,134322.24,8,8,1,13875,2896,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Standard,False,True,False,False,False,False,False,False,False,False,True
11771,0.0,0,109414.06666666668,5,5,2,5367,2493,Short-term,Asian,AUTO RENEW,WEB,1-5,Standard,False,True,True,False,False,False,False,False,False,False,True
11772,0.0,0,231845.9,15,15,1,4510,3140,Short-term,English,AUTO RENEW,AUTO RENEW,1-5,Standard,False,True,False,False,False,False,False,False,False,False,True
11773,0.0,0,531430.5066666666,19,19,2,11804,2810,Mid-term,English,NOTICE,MAIL,11-50,Premier,False,True,False,False,False,False,False,False,False,True,True
11774,0.0,0,665175.2342857143,19,19,2,9643,2367,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,False,True,True,False,False,False,False,False,False,False,True
11775,0.0,0,620889.6,20,20,1,13241,2320,Mid-term,English,NOTICE,PHONE,11-50,Premier,False,True,False,False,False,False,False,False,False,False,True
11776,0.0,0,510293.3333333333,16,16,1,10817,3110,Mid-term,English,AUTO RENEW,AUTO RENEW,1-5,Premier,False,True,False,False,False,False,False,False,False,False,True
11777,0.0,0,815242.2857142859,17,17,1,8441,3347,Mid-term,English,NOTICE,MAIL,6-10,Standard,False,True,False,False,False,False,False,False,False,False,True
11778,0.0,0,290804.80000000005,11,11,1,9096,2619,Mid-term,English,AUTO RENEW,AUTO RENEW,1-5,Standard,False,True,False,False,False,False,False,False,False,False,True
11779,339.44761904761907,1,1044819.7714285715,27,27,1,16022,3359,Long-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
